Position,Cost Per Hire,Company Stage,Company Location,Notable Investor(s),Recruiter Name
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Founding Software Engineer,$4.3K,Seed,"New York, NY",–,View Recruiter
Onboarding Manager/Trainer - 50% Travel,$4.5K,Seed,"New York, NY","Sequoia Capital, Bling Capital, BoxGroup",View Recruiter
Founding Product Marketing Manager,$6.9K,Series A,"New York, NY",Insight Partners,View Recruiter
Senior Product Manager,$5.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Product Manager,$3.5K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Senior Software Engineer,$5.7K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Backend Engineer,$2.8K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Senior Backend Engineer,$2.8K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Sales Development Representative,$0.7K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Founding Robotics Engineer,$2.5K,Pre-seed,"Berkeley, CA",Y Combinator,View Recruiter
Senior Customer Success Manager,$6.3K,Series A,"New York, NY",Index Ventures,View Recruiter
xDR (Cross-Functional Development Representative),$6.7K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Associate - Strategy and Operations,$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Head of Payroll Onboarding,$2.5K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Finance - Head of Revenue Operations,$15.0K,Series B,"New York, NY",Scale Ventures,View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$0.6K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Technical Support Engineer,$3.0K,Series A,"Toronto, ON","Drive Capital, Golden Ventures",View Recruiter
Senior Associate - Search and Evaluation,$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Medical Director/Attending Physician - NC,$2.7K,Bootstrapped,"New York, NY",–,View Recruiter
Founding Engineer,$2.2K,Seed,"Toronto, ON","Night Capital, Garage Capital",View Recruiter
Senior Software Engineer,$5.0K,Series A,"Denver, Colorado",VMG Partners,View Recruiter
Founding Sr. Software Engineer,$16.4K,Seed,"San Francisco, CA","Y Combinator, First Round Capital, BoxGroup",View Recruiter
"Associate, Corporate Development",$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Customer Experience Manager (L2 Support),$4.7K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Partnerships Manager,$2.7K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$3.0K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Payroll Onboarding Specialist,$0.3K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Licensed Clinical Social Worker (LCSW) Remote Teletherapy,$0.6K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Wealth Advisor 2,$7.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Client Experience Lead,$3.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Payroll Onboarding Specialist,$0.3K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Software Engineer,$5.9K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
CS - Customer Success Manager,$10.6K,Series B,"New York, NY",Scale Ventures,View Recruiter
Head of Operations,$1.9K,Seed,"Los Angeles, CA",–,View Recruiter
Event Marketing Coordinator,$8.8K,Series B,"New York, NY",Scale Ventures,View Recruiter
Enterprise Account Executive,$6.9K,Series A,"New York, NY",Insight Partners,View Recruiter
Full Stack Software Engineer,$20.2K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Prod - Senior Product Designer,$12.8K,Series B,"New York, NY",Scale Ventures,View Recruiter
"Associate, Corporate Development",$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Psychotherapist,$6.3K,Bootstrapped,"New York, NY",–,View Recruiter
Licensed Clinical Social Worker (LCSW) Remote Teletherapy,$0.6K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Psychotherapist,$6.3K,Bootstrapped,"New York, NY",–,View Recruiter
Licensed Professional Counselor (LPC) - Remote Teletherapy,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Eng - Applied AI Engineer,$12.8K,Series B,"New York, NY",Scale Ventures,View Recruiter
Licensed Clinical Social Worker (LCSW) - Remote Teletherapy,$1.5K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Clinical Social Worker (LCSW) - Remote Teletherapy,$1.5K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Founding Engineer,$26.0K,Seed,"San Francisco, CA","Y Combinator, Homebrew Ventures",View Recruiter
Enterprise Account Executive: EMEA,$1.7K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.7K,Seed,"New York, NY",Javelin Ventures,View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$1.2K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Partnership Manager,$5.1K,Non-profit,"Palo Alto, CA",–,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.7K,Seed,"New York, NY",Javelin Ventures,View Recruiter
People Operations Lead,$5.3K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
"Software Engineer, Infrastructure",$0.8K,Series A,"Toronto, ON",Y Combinator,View Recruiter
"Senior Software Engineer, Product",$14.1K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Social & Content Marketing Manager,$4.4K,Bootstrapped,"Nashville, TN",–,View Recruiter
Customer Success Manager,$1.5K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Full Stack Software Engineer,$19.5K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$1.2K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
CEO,$8.0K,Pre-Seed,"New York, NY",–,View Recruiter
Sales Development Representative,$4.0K,Series B,"Seattle, WA","Scale Venture Partners, Inspired Capital",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Assistant Director of Admissions (4 months contract),$0.6K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Enterprise Account Executive,$24.7K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Biz Ops & Finance Associate,$1.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Assistant Director of Admissions (4 months contract),$0.6K,Seed,"San Francisco, CA","Floodgate, Reach Capital",View Recruiter
Founding Engineer - Fullstack,$18.7K,Seed,"San Francisco, CA","Index Ventures, Costanoa Ventures",View Recruiter
Licensed Clinical Social Worker (LCSW) Remote Teletherapy,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Product Marketing Manager,$8.1K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Head of Legal and Compliance,$3.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Founding Engineer (San Francisco),$9.8K,Pre-Seed,"San Francisco, CA",–,View Recruiter
Enterprise Customer Success Manager,$2.0K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Florida),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Enterprise Account Executive,$1.0K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Software Engineer,$2.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Operations Lead,$9.9K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Enterprise Customer Success Manager,$2.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Senior Client Associate,$1.2K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Program Manager - Accelerator,$6.1K,Non-profit,"Palo Alto, CA",–,View Recruiter
Licensed Clinical Social Worker (LCSW) Remote Teletherapy,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Wealth Advisor,$3.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Founding Sr. Software Engineer,$16.4K,Seed,"San Francisco, CA","Y Combinator, First Round Capital, BoxGroup",View Recruiter
Senior QA Engineer,$4.3K,Series A,"San Francisco, CA",Y Combinator,View Recruiter
Marketing Campaign Specialist,$0.8K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Sales Development Representative,$0.8K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Sales Development Representative,$0.8K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Operations Specialist,$1.3K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Lead Brand Designer,$8.2K,Series B,"New York, NY",Scale Ventures,View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
"Senior Software Engineer, Product",$13.3K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Sales Development Representative,$2.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Enterprise Account Executive,$1.5K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Solutions Advisor,$3.6K,Series B,"New York, NY",Scale Ventures,View Recruiter
Senior Enterprise Account Executive,$2.2K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
InfoSec & Compliance Manager,$9.0K,Series B,"New York, NY",Scale Ventures,View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Process Engineer,$3.7K,Seed,"Boston, MA",Lavrock Ventures,View Recruiter
Software Engineer - Frontend,$2.0K,Series A,"New York, NY",Insight Partners,View Recruiter
Data Analytics Lead,$11.0K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Senior Client Associate,$0.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Engineering Manager,$5.2K,Series A,"New York, NY","Kleiner Perkins, Human Capital, Bedrock Capital",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Chief of Staff,$3.9K,Seed,"San Francisco, CA",Learn Capital and TitleTownTech,View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Program Manager - Accelerator,$3.4K,Non-profit,"Palo Alto, CA",–,View Recruiter
Operations Specialist,$0.5K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Operations Specialist,$0.5K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Customer Success Manager,$3.0K,Series B,"Seattle, WA","Scale Venture Partners, Inspired Capital",View Recruiter
Director of Operations,$0.8K,Seed,"New York, NY",YETI Capital,View Recruiter
Software Engineer - Nexton,$2.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Clinical Supervisor,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Staff Applied AI Engineer,$10.2K,Series B,"New York, NY",Scale Ventures,View Recruiter
Business Analyst - AI Upskilling,$4.0K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Development Manager,$0.5K,Non-profit,"Palo Alto, CA",–,View Recruiter
Partnership Manager,$2.9K,Non-profit,"Palo Alto, CA",–,View Recruiter
Processing Center Specialist (Warehouse Associate),$1.9K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Implementation Manager,$5.4K,Series A,"Merrillville, IN","Bessemer Ventures Partners, First Found Capital",View Recruiter
Technical Customer Success Manager,$6.8K,Series B,"San Francisco, CA","Insight, Story Ventures",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Florida),$0.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Sr. Software Engineer,$0.8K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Account Executive,$0.1K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Sales Engineer,$11.2K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Software Engineer,$4.5K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Sr. Software Engineer,$0.8K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Software Engineer - Mismo,$3.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Digital Media Designer,$1.3K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Senior Client Associate,$1.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Software Engineer - Mismo,$2.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Clinical Research Site Lead,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Customer Success Associate,$3.2K,Series A,"New York, NY",Fiat Ventures,View Recruiter
CEO,$8.4K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Texas),$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Florida),$0.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Enterprise Account Executive,$3.5K,Series A,"New York, NY",Insight Partners,View Recruiter
Office Manager,$0.5K,Series A,"New York, NY","Inspired Capital, Surface Ventures",View Recruiter
Founding Engineer - Fullstack,$14.8K,Seed,"San Francisco, CA","Index Ventures, Costanoa Ventures",View Recruiter
Sales Development Representative,$1.3K,Series A,"New York, NY",Fiat Ventures,View Recruiter
"Software Engineer, Fullstack (Chicago)",$4.0K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Software Engineer,$3.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Processing Center Specialist (Warehouse Associate),$1.9K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Senior Wealth Advisor 2,$5.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Enterprise Account Executive,$14.0K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Forward Deployed Engineer,$6.6K,Series B,"New York, NY",Scale Ventures,View Recruiter
Processing Center Specialist (Warehouse Associate),$1.9K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Investment Operations Manager,$3.7K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Software Engineer - Nexton,$2.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Social Media Manager,$0.6K,Seed,"New York, NY",YETI Capital,View Recruiter
Senior Client Associate,$0.8K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Associate - Therapeutics Strategy,$3.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
CEO - Senior Care AI,$5.7K,Pre-Seed,"New York, NY",–,View Recruiter
Software Engineer,$4.5K,Series A,"New York, NY",Fiat Ventures,View Recruiter
"Manager, Strategic Growth Associates",$2.4K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Mentor,$1.8K,Seed,"New York, NY",General Catalyst,View Recruiter
Software Engineer,$4.5K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Senior Software Quality Engineer (LATAM),$2.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Head of Customer Experience,$5.4K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Product Designer,$4.8K,Series B,"San Francisco, CA",Andreessen Horowitz,View Recruiter
Smart Contract / Blockchain Engineer,$0.2K,Series A,"San Francisco, CA","Bain, Google Ventures, Y Combinator",View Recruiter
Senior Customer Success Manager (New York),$2.0K,Series A,"New York, NY",Index Ventures,View Recruiter
"Senior Strategic Growth Associate, Advisor Recruiting",$1.8K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
AI Innovator-in-Residence,$2.9K,Non-profit,"Palo Alto, CA",–,View Recruiter
"Senior Software Engineer, Product",$9.2K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Outbound Marketing Lead,$0.6K,Non-profit,"Palo Alto, CA",–,View Recruiter
PT Graphic Designer,$0.3K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.9K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Strategic Growth Manager,$3.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
CEO - Senior Care AI,$3.8K,Pre-Seed,"New York, NY",–,View Recruiter
Product Manager,$3.3K,Series A,"San Francisco, CA","Greycroft, Altos Adventures",View Recruiter
Lead Product Designer,$1.2K,Series C,"San Francisco, CA","Salesforce Ventures, Slack Fund",View Recruiter
Software Engineer,$4.9K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Founding Recruiter,$2.5K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Senior Software Engineer,$3.4K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
AI Software Engineering Internship,$0.6K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.9K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Controls Engineer,$6.5K,Series A,"San Francisco, CA","Pear VC, Toyota Ventures",View Recruiter
Senior Backend Engineer,$1.0K,Series C,"San Francisco, CA","Salesforce Ventures, Slack Fund",View Recruiter
Full Stack Engineer,$3.6K,Series A,"Toronto, ON","Drive Capital, Golden Ventures",View Recruiter
Senior Gen AI Engineer (hybrid),$3.2K,Seed,"Palo Alto, CA",–,View Recruiter
Customer Experience Associate (L1),$2.9K,Series A,"San Francisco, CA","Greycroft, Altos Adventures",View Recruiter
Product Support Lead,$1.7K,Series C,"San Francisco, CA","Salesforce Ventures, Slack Fund",View Recruiter
Mental Health Therapist - Florida License,$1.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
"Senior Software Engineer, Product",$9.2K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Senior Software Engineer,$4.0K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Growth Manager,$3.6K,Seed,"Seattle, WA",Aglae Ventures,View Recruiter
Senior Frontend Engineer,$5.1K,Series A,"Toronto, ON","Left Lane Capital, XYZ Venture Capital, Intact Ventures",View Recruiter
Product Owner / Project Manager,$5.1K,Seed,"Palo Alto, CA",–,View Recruiter
Product Manager,$3.3K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$1.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Account Executive,$0.0K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Commercial Account Executive,$17.3K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.9K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Partner Strategy and Operations Manager,$4.8K,Series A,"San Francisco, CA","Greycroft, Altos Adventures",View Recruiter
Account Executive,$0.0K,Series A,"New York, NY","Base10 Partners, Bienville Capital",View Recruiter
Senior Full-Stack Software Engineer,$13.0K,Seed,"San Francisco, CA",Base10 Partners,View Recruiter
Strategic Finance Lead,$8.0K,Series B,"New York, NY",Scale Ventures,View Recruiter
Senior Customer Support Engineer,$8.0K,Series A,"Merrillville, IN","Bessemer Ventures Partners, First Found Capital",View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Software Engineer,$4.9K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Account Executive (NYC),$0.3K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Mental Health Therapist - Ohio License,$1.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Enterprise Customer Success Manager,$1.4K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Customer Success Associate,$2.3K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Solutions Architect,$10.4K,Series B,"New York, NY",Scale Ventures,View Recruiter
Strategic Growth Manager,$2.2K,Series A,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Clinical Supervisor,$0.7K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Senior Mechanical Engineer,$7.0K,Series A,"San Francisco, CA",Y Combinator,View Recruiter
Software Engineer Intern (May - August 2025) - United States,$1.0K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Senior Backend Engineer,$1.0K,Series C,"San Francisco, CA","Salesforce Ventures, Slack Fund",View Recruiter
Enterprise Account Executive,$11.3K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Senior Product Designer,$3.2K,Seed,"San Francisco, CA",–,View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Founding Head of Product Marketing,$1.5K,Series A,"New York, NY",Insight Partners,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Florida License,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Sales Development Representative,$1.1K,Series A,"New York, NY",Fiat Ventures,View Recruiter
"Senior Software Engineer, Frontend",$7.5K,Series A,"New York, NY","Kleiner Perkins, Human Capital, Bedrock Capital",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Research Analyst,$0.8K,Series A,"San Francisco, CA",General Catalyst,View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mental Health Therapist - Florida License,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Home Advisor,$5.8K,Seed,"Austin, TX",Confidential,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Sales Engineer - EMEA,$6.2K,Series A,"San Francisco, CA","Microsoft Ventures, Imaginary Ventures",View Recruiter
Mental Health Therapist - Florida License,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
"Warehouse Operations Manager - Dallas, TX",$1.5K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Mental Health Therapist - Texas License,$0.1K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Customer Success Manager,$6.2K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Remote,$0.7K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Annotation Lead,$2.3K,Series A,"Mountain View, CA",Confidential,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.3K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.3K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Founding Engineer,$2.9K,Seed,"New York, NY","Acrew Capital, Compound",View Recruiter
Marketing Intern (Canada),$1.5K,Series B,"San Francisco, CA",General Catalyst,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.3K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (PSYPACT),$0.3K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Product Designer,$9.6K,Series A,"New York, NY","Y Combinator, Craft",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Advisor Experience Manager,$2.3K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Founding Recruiter,$1.0K,Series A,"New York, NY",Fiat Ventures,View Recruiter
Licensed Psychologist - Remote Clinical Assessments (Florida),$0.0K,Seed,"New York, NY",Javelin Ventures,View Recruiter
AI Data Engineer,$4.9K,Bootstrapped,"New York, NY",Bootstrapped,View Recruiter
Mental Health Therapist - Illinois License,$0.4K,Seed,"New York, NY",Javelin Ventures,View Recruiter
Senior Frontend Engineer (React + Typescript),$1.1K,Seed,"New York, NY","Y Combinator, Menlo Ventures, Human Capital",View Recruiter
Mentor 2025,$0.8K,Seed,"New York, NY","General Catalyst, Tusk Ventures",View Recruiter
Senior Software Engineer,$4.0K,Series B,"New York, NY","Thrive Capital, Index Ventures, Canvas Ventures",View Recruiter
Head of Partner Success,$14.4K,Seed,"San Francisco, CA",Greycroft,View Recruiter
Licensed Mental Health Counselor (LMHC) - Remote Teletherapy,$0.2K,Seed,"New York, NY",Javelin Ventures,View Recruiter
